District,Survey Units,Industry,Construction,Wholesale and Retail,Hotel and Catering,Real Estate,Leasing and Business Services
Total,18839,6627,849,4728,814,566,5255
Futian,3825,83,375,1511,224,158,1474
Luohu,1952,115,76,842,190,66,663
Yantian,399,75,6,52,25,32,209
Nanshan,3876,669,160,1169,144,85,1649
Bao’an,3481,2358,62,425,76,53,507
Longgang,2268,1244,94,355,61,118,396
Longhua,1602,974,43,279,56,27,223
Pingshan,489,365,15,37,17,13,42
Guangming,824,690,10,48,7,6,63
Dapeng,123,54,8,10,14,8,29
