Region,Number of Enterprises (unit),Total Assets (100 million yuan),Business Revenue (100 million yuan),Employee Compensation Payable (100 million yuan),Average Number of Employed Persons (person)
Total,5239,36563.12,7951.37,1550.41,1451077
Futian,1472,13048.12,2690.23,552.17,557197
Luohu,663,4421.34,813.9,181.27,174393
Yantian,208,1749.26,176.51,31.56,30965
Nanshan,1637,12029.89,2 875.63,462.45,329039
Bao’an,507,2994.94,759.97,164.28,186976
Longgang,395,1314.51,284.29,80.92,101603
Longhua,223,525.13,151.7,28.16,39140
Pingshan,42,67.86,10.76,2.58,4526
Guangming,63,115.29,24.17,7.5,14430
Dapeng,29,296.8,164.2,39.51,12808
