District,Total,Agriculture/Forestry/Animal Husbandry/Fishery,Mining,Manufacturing,Production & Distribution of Electricity/Heat/Gas/Water,Construction,Wholesale & Retail Trades,Transportation/Storage and Post,Hotels and Catering Services,Information Transmission/Software and Information Technology,Financial Intermediation,Real Estate,Leasing and Business Services,Scientific Research and Technical Services,Management of Water Conservancy/Environment and Public Facilities,Services to Households/Repair and other Services,Education,Health and Social Work,Culture/Sports and Entertainment,Public Management/Social Security and Social Organization
Futian,977 584,,,77663,3244,154 480,137 447,66 800,36 788,44 597,62 175,115 364,143 068,32 125,4444,6 934,21 307,17 274,11 892,41 982
Luohu,394 900,129,,19 867,5 658,66 762,47 801,44 775,35 429,10 221,35 535,36 181,35 714,7 854,1 462,3 559,13 516,11 520,1 290,17 627
Yantian,65 854,80,,23 509,,3 006,2 431,14 778,1 207,73,21,2 563,3 550,2 588,718,39,2 827,1 461,2 762,4 241
Nanshan,699 211,206,3 819,331 382,1 999,22 487,50 986,25 670,13 050,120 245,248,26 087,22 491,32 966,4 141,4 037,18 511,5 895,3 253,11 738
Bao’an,822 354,,,646 247,1 846,5 492,15 906,52 127,4 413,1 068,,9 422,39 856,3 150,394,3 084,17 100,7 954,1 772,12 523
Longgang,641 461,16,,509 448,2 088,4 215,11 345,19 317,6 025,2 175,,5 866,16 683,6 800,303,958,13 456,11 426,791,30 549
Longhua,436 602,,123,381 162,781,11 796,8 479,5 680,3 443,870,275,5 871,6 982,491,152,162,2 743,384,2 461,4 747
Pingshan,143 669,,,126 003,302,1 133,3 113,502,260,3,,163,3 226,41,63,10,3 960,409,,4 481
Guangming,196 412,40,,174 104,475,350,1 094,190,315,25,17,747,10 279,153,145,437,3 213,2 921,,1 907
Dapeng,47 430,10,,26 939,886,2 405,376,1 083,803,,,868,3 291,6 223,34,639,878,630,42,2 323
